horizonte,wflow_id,.config,preproc,model,.metric,.estimator,mean,n,std_err
target_5d,rec_null,pre0_mod0_post0,recipe,null_model,mae,standard,0.016659049992030335,39,8.776421346553153e-4
target_5d,rec_null,pre0_mod0_post0,recipe,null_model,rmse,standard,0.020914724123760355,39,0.0010705764724916664
target_5d,rec_null,pre0_mod0_post0,recipe,null_model,rsq,standard,NA,0,NA
target_5d,rec_ridge,pre0_mod0_post0,recipe,linear_reg,mae,standard,0.019035613681362057,39,0.0010638438047726934
target_5d,rec_ridge,pre0_mod0_post0,recipe,linear_reg,rmse,standard,0.023464829702623632,39,0.0012458961266237731
target_5d,rec_ridge,pre0_mod0_post0,recipe,linear_reg,rsq,standard,0.06169789059930524,39,0.011627651829964999
target_5d,rec_enet,pre0_mod0_post0,recipe,linear_reg,mae,standard,0.016660634619568966,39,8.783720007476895e-4
target_5d,rec_enet,pre0_mod0_post0,recipe,linear_reg,rmse,standard,0.020916150924550122,39,0.001071466324403814
target_5d,rec_enet,pre0_mod0_post0,recipe,linear_reg,rsq,standard,0.053031297800925276,8,0.024340990554112974
target_5d,rec_rf,pre0_mod0_post0,recipe,rand_forest,mae,standard,0.017907230237957882,39,0.0010619132118650592
target_5d,rec_rf,pre0_mod0_post0,recipe,rand_forest,rmse,standard,0.022396282730361153,39,0.00125026806641934
target_5d,rec_rf,pre0_mod0_post0,recipe,rand_forest,rsq,standard,0.0874256666266164,39,0.014814887251821778
target_5d,rec_xgb,pre0_mod0_post0,recipe,boost_tree,mae,standard,0.020452561963633046,39,0.0011713530726927776
target_5d,rec_xgb,pre0_mod0_post0,recipe,boost_tree,rmse,standard,0.02529108877735328,39,0.0013749384451506755
target_5d,rec_xgb,pre0_mod0_post0,recipe,boost_tree,rsq,standard,0.06377197234682576,39,0.010531839421541855
target_30d,rec_null,pre0_mod0_post0,recipe,null_model,mae,standard,0.04426093729445488,39,0.0035949310902752027
target_30d,rec_null,pre0_mod0_post0,recipe,null_model,rmse,standard,0.05187750274745876,39,0.003839698807671647
target_30d,rec_null,pre0_mod0_post0,recipe,null_model,rsq,standard,NA,0,NA
target_30d,rec_ridge,pre0_mod0_post0,recipe,linear_reg,mae,standard,0.057989384656734755,39,0.00556174707487938
target_30d,rec_ridge,pre0_mod0_post0,recipe,linear_reg,rmse,standard,0.0670206040311604,39,0.005921578999430697
target_30d,rec_ridge,pre0_mod0_post0,recipe,linear_reg,rsq,standard,0.2263841678923571,39,0.0338579750915327
target_30d,rec_enet,pre0_mod0_post0,recipe,linear_reg,mae,standard,0.049224594162723984,39,0.00434893306252998
target_30d,rec_enet,pre0_mod0_post0,recipe,linear_reg,rmse,standard,0.05676481986314176,39,0.004669419883166461
target_30d,rec_enet,pre0_mod0_post0,recipe,linear_reg,rsq,standard,0.25033043082974615,39,0.03469316758843541
target_30d,rec_rf,pre0_mod0_post0,recipe,rand_forest,mae,standard,0.042111525291290926,39,0.004181172146893094
target_30d,rec_rf,pre0_mod0_post0,recipe,rand_forest,rmse,standard,0.04911144338721681,39,0.004466460373545872
target_30d,rec_rf,pre0_mod0_post0,recipe,rand_forest,rsq,standard,0.3691389657187417,39,0.041265533193429814
target_30d,rec_xgb,pre0_mod0_post0,recipe,boost_tree,mae,standard,0.04636286587608807,39,0.004732787025329013
target_30d,rec_xgb,pre0_mod0_post0,recipe,boost_tree,rmse,standard,0.05425072505132344,39,0.005031308315235556
target_30d,rec_xgb,pre0_mod0_post0,recipe,boost_tree,rsq,standard,0.2868239882603275,39,0.03506993463551747
target_90d,rec_null,pre0_mod0_post0,recipe,null_model,mae,standard,0.0778704550913807,39,0.008268372848519272
target_90d,rec_null,pre0_mod0_post0,recipe,null_model,rmse,standard,0.08634004581681007,39,0.008225397345429293
target_90d,rec_null,pre0_mod0_post0,recipe,null_model,rsq,standard,NA,0,NA
target_90d,rec_ridge,pre0_mod0_post0,recipe,linear_reg,mae,standard,0.07222488182433354,39,0.007017268049344166
target_90d,rec_ridge,pre0_mod0_post0,recipe,linear_reg,rmse,standard,0.08155602986662934,39,0.0073153159218440015
target_90d,rec_ridge,pre0_mod0_post0,recipe,linear_reg,rsq,standard,0.33825461483901276,39,0.04538422586460844
target_90d,rec_enet,pre0_mod0_post0,recipe,linear_reg,mae,standard,0.07178091724319867,39,0.006769928007310101
target_90d,rec_enet,pre0_mod0_post0,recipe,linear_reg,rmse,standard,0.07972711867608025,39,0.0070309757865044216
target_90d,rec_enet,pre0_mod0_post0,recipe,linear_reg,rsq,standard,0.3515206894477837,39,0.04641700329535148
target_90d,rec_rf,pre0_mod0_post0,recipe,rand_forest,mae,standard,0.06095848344273197,39,0.005718194755814447
target_90d,rec_rf,pre0_mod0_post0,recipe,rand_forest,rmse,standard,0.0690491673230979,39,0.006110983542758653
target_90d,rec_rf,pre0_mod0_post0,recipe,rand_forest,rsq,standard,0.3852255669095139,39,0.04746700677886957
target_90d,rec_xgb,pre0_mod0_post0,recipe,boost_tree,mae,standard,0.06701015827422192,39,0.007408440227185734
target_90d,rec_xgb,pre0_mod0_post0,recipe,boost_tree,rmse,standard,0.0763664220479859,39,0.007852438740145134
target_90d,rec_xgb,pre0_mod0_post0,recipe,boost_tree,rsq,standard,0.3271600486525315,39,0.043187099590697435
