variable,n_miss,pct_miss
saldo_cambial,4052,100
fluxo_cambial,3952,97.53208292201381
core_cpi_us,3938,97.18657453109576
cpi_us,3938,97.18657453109576
desemprego_us,3938,97.18657453109576
fed_funds,3937,97.1618953603159
pce_us,3937,97.1618953603159
us_hy_spread,3389,83.63770977295162
sofr,2136,52.7147087857848
desemprego_br,543,13.400789733464954
desemprego_pnad_trimestral,543,13.400789733464954
cdi_diario,533,13.153998025666338
reservas_intl,533,13.153998025666338
selic_diaria,533,13.153998025666338
selic_meta,533,13.153998025666338
balanca_comercial_bcb,524,12.931885488647582
dbgg_pib,524,12.931885488647582
ibc_br,524,12.931885488647582
resultado_nominal,524,12.931885488647582
resultado_primario,524,12.931885488647582
usd_brl,475,11.722606120434353
dxy_fred,159,3.923988153998026
petroleo_brent,136,3.356367226061204
treasury_10y,131,3.2329713721618956
treasury_2y,131,3.2329713721618956
breakeven_10y,131,3.2329713721618956
breakeven_5y,131,3.2329713721618956
ouro,106,2.6159921026653503
petroleo_wti,105,2.5913129318854886
ewz,105,2.5913129318854886
cobre,105,2.5913129318854886
sp500,105,2.5913129318854886
nasdaq,105,2.5913129318854886
vix,105,2.5913129318854886
dxy,104,2.566633761105627
vix_fred,79,1.9496544916090819
ibovespa,54,1.332675222112537
ipca_acum12m,20,0.4935834155972359
ipca_mensal,20,0.4935834155972359
ipca_variacao_mensal,20,0.4935834155972359
ipca_variacao_acumulada_no_ano,20,0.4935834155972359
ipca_variacao_acumulada_em_3_meses,20,0.4935834155972359
ipca_variacao_acumulada_em_6_meses,20,0.4935834155972359
ipca_variacao_acumulada_em_12_meses,20,0.4935834155972359
pim_geral,20,0.4935834155972359
consumer_sentiment_us,20,0.4935834155972359
minerio_ferro,20,0.4935834155972359
soja,20,0.4935834155972359
date,0,0
usd_brl_ptax,0,0
focus_cambio,0,0
focus_ipca,0,0
focus_pib_total,0,0
focus_selic,0,0
target_5d,0,0
target_30d,0,0
target_90d,0,0
dir_5d,0,0
dir_30d,0,0
dir_90d,0,0
