variavel,inicio
usd_brl_ptax,2010-01-04
petroleo_brent,2010-01-04
petroleo_wti,2010-01-04
dxy,2010-01-04
ewz,2010-01-04
ouro,2010-01-04
cobre,2010-01-04
usd_brl,2010-01-04
ibovespa,2010-01-04
sp500,2010-01-04
nasdaq,2010-01-04
vix,2010-01-04
dxy_fred,2010-01-04
treasury_10y,2010-01-04
treasury_2y,2010-01-04
vix_fred,2010-01-04
cdi_diario,2010-01-04
reservas_intl,2010-01-04
selic_diaria,2010-01-04
selic_meta,2010-01-04
focus_cambio,2010-01-04
focus_ipca,2010-01-04
focus_pib_total,2010-01-04
focus_selic,2010-01-04
breakeven_10y,2010-01-04
breakeven_5y,2010-01-04
core_cpi_us,2010-02-01
cpi_us,2010-02-01
desemprego_us,2010-02-01
fed_funds,2010-02-01
pce_us,2010-02-01
fluxo_cambial,2010-02-01
ipca_acum12m,2010-02-01
ipca_mensal,2010-02-01
ipca_variacao_mensal,2010-02-01
ipca_variacao_acumulada_no_ano,2010-02-01
ipca_variacao_acumulada_em_3_meses,2010-02-01
ipca_variacao_acumulada_em_6_meses,2010-02-01
ipca_variacao_acumulada_em_12_meses,2010-02-01
pim_geral,2010-02-01
consumer_sentiment_us,2010-02-01
minerio_ferro,2010-02-01
soja,2010-02-01
balanca_comercial_bcb,2012-02-01
dbgg_pib,2012-02-01
ibc_br,2012-02-01
resultado_nominal,2012-02-01
resultado_primario,2012-02-01
desemprego_br,2012-03-01
desemprego_pnad_trimestral,2012-03-01
sofr,2018-04-03
us_hy_spread,2023-07-03
saldo_cambial,Inf
